                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                     74,                0.76474,                0.49187,                0.88165,                0.99534,                      1,                  0.995,                0.90973,                0.65215,                 0.5372,                 1.2632,               0.026634,             0.00063437,             0.00063437,             1.6894e+09,                    194
                     75,                0.61548,                0.47622,                0.95939,                0.99534,                      1,                  0.995,                0.90973,                0.65215,                 0.5372,                 1.2632,                0.02564,             0.00064018,             0.00064018,             1.6894e+09,                    196
                     76,                0.58849,                0.45542,                 1.0049,                0.99649,                      1,                  0.995,                0.87478,                0.73237,                0.56351,                 1.3019,               0.024646,             0.00064588,             0.00064588,             1.6894e+09,                    197
                     77,                0.59705,                0.50084,                0.93033,                0.99649,                      1,                  0.995,                0.87478,                0.73237,                0.56351,                 1.3019,               0.023651,             0.00065149,             0.00065149,             1.6894e+09,                    199
                     78,                0.67286,                0.51172,                 1.0009,                0.99447,                      1,                  0.995,                0.78706,                0.84451,                 0.6819,                 1.2867,               0.022657,             0.00065699,             0.00065699,             1.6894e+09,                    201
                     79,                0.61255,                0.49967,                0.93481,                0.99447,                      1,                  0.995,                0.78706,                0.84451,                 0.6819,                 1.2867,               0.021662,             0.00066238,             0.00066238,             1.6894e+09,                    202
                     80,                0.53812,                0.45915,                0.91363,                  0.992,                      1,                  0.995,                0.75643,                0.83485,                0.75723,                 1.2764,               0.020668,             0.00066767,             0.00066767,             1.6894e+09,                    204
                     81,                0.58163,                 0.4527,                0.92327,                  0.992,                      1,                  0.995,                0.75643,                0.83485,                0.75723,                 1.2764,               0.019673,             0.00067285,             0.00067285,             1.6894e+09,                    206
                     82,                0.60406,                 0.4699,                0.92849,                0.99612,                      1,                  0.995,                 0.7723,                0.82852,                0.65818,                 1.2947,               0.018678,             0.00067792,             0.00067792,             1.6894e+09,                    208
                     83,                0.62953,                0.46273,                0.92215,                0.99612,                      1,                  0.995,                 0.7723,                0.82852,                0.65818,                 1.2947,               0.017683,             0.00068288,             0.00068288,             1.6894e+09,                    210
                     84,                0.69394,                0.47955,                  1.013,                0.99634,                      1,                  0.995,                 0.8826,                0.80683,                0.56277,                 1.2345,               0.016688,             0.00068773,             0.00068773,             1.6894e+09,                    211
                     85,                0.58036,                0.44578,                0.88413,                0.99634,                      1,                  0.995,                 0.8826,                0.80683,                0.56277,                 1.2345,               0.015692,             0.00069248,             0.00069248,             1.6894e+09,                    213
                     86,                0.63341,                0.50956,                0.97966,                0.99671,                      1,                  0.995,                0.87778,                0.82172,                0.57272,                 1.1958,               0.014697,             0.00069711,             0.00069711,             1.6894e+09,                    215
                     87,                0.56115,                0.45802,                0.90514,                0.99671,                      1,                  0.995,                0.87778,                0.82172,                0.57272,                 1.1958,               0.013702,             0.00070163,             0.00070163,             1.6894e+09,                    216
                     88,                0.66791,                0.49176,                 1.0127,                0.99604,                      1,                  0.995,                0.90386,                0.77292,                0.56568,                 1.1888,               0.012706,             0.00070604,             0.00070604,             1.6894e+09,                    218
                     89,                0.58881,                0.44074,                0.92273,                0.99604,                      1,                  0.995,                0.90386,                0.77292,                0.56568,                 1.1888,                0.01171,             0.00071034,             0.00071034,             1.6894e+09,                    220
                     90,                0.58596,                0.46066,                0.90086,                0.99629,                      1,                  0.995,                0.86898,                0.74655,                0.57104,                 1.2068,               0.010715,             0.00071452,             0.00071452,             1.6894e+09,                    221
